fare_id,route_id,origin_id,destination_id,contains_id
1,17862,,,
1,17863,,,
1,17864,,,
1,17865,,,
1,17866,,,
1,17867,,,
1,17868,,,
1,17869,,,
1,17870,,,
1,17871,,,
1,17872,,,
1,17873,,,
1,17874,,,
1,17875,,,
1,17876,,,
1,17877,,,
1,17878,,,
1,17879,,,
1,17880,,,
1,17881,,,
1,17882,,,
1,17883,,,
1,17884,,,
1,17885,,,
1,17886,,,
1,17887,,,
1,17888,,,
1,17889,,,
1,17890,,,
1,17891,,,
1,17892,,,
1,17893,,,
1,17894,,,
1,17895,,,
1,17896,,,
1,17897,,,
1,17898,,,
1,17899,,,
1,17900,,,
1,17901,,,
1,17902,,,
1,17903,,,
1,17904,,,
1,17905,,,
1,17906,,,
1,17907,,,
1,17908,,,
1,17909,,,
1,17910,,,
1,17911,,,
1,17912,,,
1,17913,,,
1,17914,,,
1,17915,,,
1,17916,,,
1,17917,,,
1,17918,,,
1,17919,,,
1,17920,,,
1,17921,,,
1,17922,,,
1,17923,,,
1,17924,,,
1,17925,,,
1,17926,,,
1,17927,,,
1,17928,,,
1,17929,,,
1,17930,,,
1,17931,,,
1,17932,,,
1,17933,,,
1,17934,,,
1,17935,,,
1,17936,,,
1,17937,,,
1,17938,,,
1,17939,,,
1,17940,,,
1,17941,,,
1,17942,,,
1,17943,,,
1,17944,,,
1,17945,,,
1,17946,,,
1,17947,,,
1,17948,,,
1,17949,,,
1,17950,,,
1,17951,,,
1,17952,,,
1,17953,,,
1,17954,,,
1,17955,,,
1,17956,,,
1,17957,,,
1,17958,,,
1,17959,,,
1,17960,,,
1,17961,,,
1,17962,,,
1,17963,,,
1,17964,,,
1,17965,,,
1,17966,,,
1,17967,,,
1,17968,,,
1,17969,,,
1,17970,,,
1,17971,,,
1,17972,,,
1,17973,,,
1,17974,,,
1,17975,,,
1,17976,,,
1,17977,,,
1,17978,,,
1,17979,,,
1,17980,,,
1,17981,,,
1,17982,,,
1,17983,,,
1,17984,,,
1,17985,,,
1,17986,,,
1,17987,,,
1,17988,,,
1,17989,,,
1,17990,,,
1,17991,,,
1,17992,,,
1,17993,,,
1,17994,,,
1,17995,,,
1,17996,,,
1,17997,,,
1,17998,,,
1,17999,,,
1,18000,,,
1,18001,,,
1,18002,,,
1,18003,,,
1,18004,,,
1,18005,,,
1,18006,,,
1,18007,,,
1,18008,,,
1,18009,,,
1,18010,,,
1,18011,,,
1,18012,,,
1,18013,,,
1,18014,,,
1,18015,,,
1,18016,,,
1,18017,,,
1,18018,,,
1,18019,,,
1,18020,,,
1,18021,,,
1,18022,,,
1,18023,,,
1,18024,,,
1,18025,,,
1,18026,,,
1,18027,,,
1,18028,,,
1,18029,,,
1,18030,,,
1,18031,,,
1,18032,,,
1,18033,,,
1,18034,,,
1,18035,,,
1,18036,,,
1,18037,,,
1,18038,,,
1,18039,,,
1,18040,,,
1,18041,,,
1,18042,,,
1,18043,,,
1,18044,,,
1,18045,,,
1,18060,,,
1,18061,,,
1,18062,,,
1,18063,,,
1,18064,,,
1,18065,,,
1,18052,,,
